Sum of Rpt Dist No,AREA NAME,LOCATION
4597,Harbor,254TH
5601,Harbor,254TH                        ST
7545,Harbor,25500    BAYCREST                     CT
4024,Harbor,25500    BAYSIDE                      PL
3066,Harbor,25500    BELLE PORTE                  AV
1509,Harbor,25500    DODGE                        AV
6136,Harbor,25500    FRAMPTON                     AV
6036,Harbor,25500    HARBOR VILLAGE               PL
2565,Harbor,25500    MARIGOLD                     AV
2565,Harbor,25500    NORMANDIE                    AV
5533,Harbor,25500    PINE CREEK                   LN
2012,Harbor,25500    PORTSIDE                     LN
3577,Harbor,25500    PRESIDENT                    AV
1533,Harbor,25500    SENATOR                      AV
6539,Harbor,25500    VERMONT                      AV
7154,Harbor,25500    WESTERN                      AV
4070,Harbor,255TH
4058,Harbor,255TH                        ST
1509,Harbor,25600    BAYCREST                     CT
503,Harbor,25600    BAYVIEW                      PL
5619,Harbor,25600    BELLE PORTE                  AV
1509,Harbor,25600    BIXBY                        AV
1006,Harbor,25600    DODGE                        AV
3591,Harbor,25600    FRAMPTON                     AV
5030,Harbor,25600    HARBOR VILLAGE               PL
4094,Harbor,25600    MARIGOLD                     AV
3078,Harbor,25600    NORMANDIE                    AV
4527,Harbor,25600    PINE CREEK                   LN
3577,Harbor,25600    PRESIDENT                    AV
3066,Harbor,25600    SENATOR                      AV
503,Harbor,25600    VERMONT                      AV
7154,Harbor,25600    WESTERN                      AV
503,Harbor,256TH
3567,Harbor,256TH                        ST
7154,Harbor,25700    BELLE PORTE                  AV
7665,Harbor,25700    FRAMPTON                     AV
2044,Harbor,25700    PRESIDENT                    AV
1026,Harbor,25700    VERMONT                      AV
511,Harbor,25700    WESTERN                      AV
1535,Harbor,257TH
5625,Harbor,257TH                        ST
6372,Harbor,25800    BELLE PORTE                  AV
1593,Harbor,25800    FRAMPTON                     AV
21033,Harbor,25800    NORMANDIE                    AV
531,Harbor,25800    PRESIDENT                    AV
1062,Harbor,25800    SENATOR                      AV
89775,Harbor,25800    VERMONT                      AV
9558,Harbor,25800    WESTERN                      AV
513,Harbor,25800 S  NORMANDIE                    AV
4104,Harbor,25800 S  VERMONT                      AV
1062,Harbor,25800 S  WESTERN                      AV
531,Harbor,258TH                        ST
11151,Harbor,25900    BELLE PORTE                  AV
7965,Harbor,25900    FRAMPTON                     AV
2655,Harbor,25900    MARKET                       PL
13338,Harbor,25900    NORMANDIE                    AV
1062,Harbor,25900    PRESIDENT                    AV
513,Harbor,25900    SANDSTONE                    LN
1062,Harbor,25900    SENATOR                      AV
11151,Harbor,25900    WESTERN                      AV
513,Harbor,25900 S  NORMANDIE                    AV
531,Harbor,25900 S  WESTERN                      AV
1593,Harbor,259TH
3679,Harbor,259TH                        ST
6388,Harbor,25TH
9931,Harbor,25TH                         ST
583,Harbor,2600    ADAMS                        CI
583,Harbor,2600    ADAMS CIRCLE
583,Harbor,2600    AVERILL                      AV
1743,Harbor,2600    GUNNELL                      AV
587,Harbor,2600    KERCKHOFF                    AV
599,Harbor,2600    NAVY                         WY
1587,Harbor,2600 E  ANAHEIM                      ST
529,Harbor,2600 E  I                            ST
2925,Harbor,2600 S  ALMA                         ST
1162,Harbor,2600 S  ANCHOVY                      AV
1166,Harbor,2600 S  AVERILL                      AV
521,Harbor,2600 S  BLUE BUTTERF                 WY
4088,Harbor,2600 S  CABRILLO                     AV
4109,Harbor,2600 S  CAROLINA                     ST
2348,Harbor,2600 S  DENISON                      AV
1749,Harbor,2600 S  DOLPHIN                      ST
584,Harbor,2600 S  GAFFEY                       ST
3522,Harbor,2600 S  KERCKHOFF                    AV
1170,Harbor,2600 S  LELAND                       ST
1162,Harbor,2600 S  MORAY                        AV
17027,Harbor,2600 S  PACIFIC                      AV
2915,Harbor,2600 S  PATTON                       AV
4109,Harbor,2600 S  PECK                         AV
583,Harbor,2600 S  WALKER                       AV
4779,Harbor,26000    BELLE PORTE                  AV
4779,Harbor,26000    FRAMPTON                     AV
1062,Harbor,26000    GOVERNOR                     AV
3186,Harbor,26000    MARJAN                       PL
531,Harbor,26000    PRESIDENT                    AV
2565,Harbor,26000    STONEHAVEN                   DR
4104,Harbor,26000    VERMONT                      AV
2124,Harbor,26000    WESTERN                      AV
513,Harbor,26000 S  VERMONT                      AV
1593,Harbor,260TH
5841,Harbor,260TH                        ST
13806,Harbor,26100    BELLE PORTE                  AV
13788,Harbor,26100    FRAMPTON                     AV
531,Harbor,26100    GOVERNOR                     AV
3186,Harbor,26100    PRESIDENT                    AV
5643,Harbor,26100    VERMONT                      AV
1026,Harbor,26100 S  VERMONT                      AV
531,Harbor,26100 S  WESTERN                      AV
1573,Harbor,261ST                        ST
4779,Harbor,26200    ATHENA                       AV
6669,Harbor,26200    FRAMPTON                     AV
1593,Harbor,26200    GOVERNOR                     AV
1593,Harbor,26200    OZONE                        AV
5310,Harbor,26200    PRESIDENT                    AV
2124,Harbor,26200    SENATOR                      AV
6669,Harbor,26200    VERMONT                      AV
531,Harbor,26200    ZEPHYR                       AV
513,Harbor,26200 S  VERMONT                      AV
1575,Harbor,262ND                        ST
1024,Harbor,26300    ATHENA                       AV
1536,Harbor,26300    BELLE PORTE                  AV
513,Harbor,26300    FRAMPTON                     AV
3584,Harbor,26300    GOVERNOR                     AV
3584,Harbor,26300    OZONE                        AV
1536,Harbor,26300    PINES ESTATES                DR
2560,Harbor,26300    PRESIDENT                    AV
1536,Harbor,26300    SENATOR                      AV
4104,Harbor,26300    VERMONT                      AV
2560,Harbor,26300    ZEPHYR                       AV
1574,Harbor,263RD                        ST
1024,Harbor,26400    ATHENA                       AV
512,Harbor,26400    GOVERNOR                     AV
512,Harbor,26400    LEESDALE                     AV
512,Harbor,26400    OZONE                        AV
512,Harbor,26400    PINEKNOLL                    AV
512,Harbor,26400    PRESIDENT                    AV
1536,Harbor,26400    SENATOR                      AV
1539,Harbor,26400    VERMONT                      AV
1024,Harbor,26400    WESTERN                      AV
512,Harbor,26400    ZEPHYR                       AV
513,Harbor,26400 S  VERMONT                      AV
1024,Harbor,26500    ATHENA                       AV
503,Harbor,26500    HARBOR VILLAGE               PL
512,Harbor,26500    LEESDALE                     AV
512,Harbor,26500    PRESIDENT                    AV
513,Harbor,26500    VERMONT                      AV
512,Harbor,26500    WESTERN                      AV
513,Harbor,26500 S  VERMONT                      AV
1536,Harbor,26600    ATHENA                       AV
2048,Harbor,26600    PRESIDENT                    AV
512,Harbor,26600    SENATOR                      AV
11264,Harbor,26600    WESTERN                      AV
507,Harbor,266TH
2926,Harbor,26TH
2902,Harbor,26TH                         ST
1167,Harbor,2700    BARBARA                      ST
2905,Harbor,2700    GRAYSBY                      AV
569,Harbor,2700    MINER                        ST
521,Harbor,2700 N  GAFFEY                       ST
2324,Harbor,2700 S  ANCHOVY                      AV
1761,Harbor,2700 S  CAROLINA                     ST
2935,Harbor,2700 S  DENISON                      AV
1752,Harbor,2700 S  GAFFEY                       ST
587,Harbor,2700 S  KERCKHOFF                    AV
8807,Harbor,2700 S  PACIFIC                      AV
583,Harbor,2700 S  PATTON                       AV
3522,Harbor,2700 S  PECK                         AV
1752,Harbor,2700 S  WALKER                       AV
521,Harbor,27500    ORCHARD                      LN
1042,Harbor,27600    ROCKCREST                    RD
521,Harbor,27600    SUNCREST                     RD
1563,Harbor,27700    WINDWARD                     WY
1042,Harbor,27800 S  WESTERN                      AV
5731,Harbor,27900 S  WESTERN                      AV
504,Harbor,27TH                         ST
5840,Harbor,2800    BAYWATER                     AV
589,Harbor,2800    CABRILLO MAR                 AV
587,Harbor,2800    CAROLINA                     ST
1162,Harbor,2800    GRAYSBY                      AV
3414,Harbor,2800    MINER                        ST
50065,Harbor,2800    VIA CABRILLO MARINA
1567,Harbor,2800 E  GRANT                        ST
581,Harbor,2800 S  ANCHOVY                      AV
2935,Harbor,2800 S  CAROLINA                     ST
2348,Harbor,2800 S  DENISON                      AV
587,Harbor,2800 S  GAFFEY                       ST
1174,Harbor,2800 S  KERCKHOFF                    AV
5285,Harbor,2800 S  PACIFIC                      AV
587,Harbor,2800 S  PECK                         AV
1166,Harbor,2800 S  WESTERN                      AV
541,Harbor,28000 N  WESTERN                      AV
28134,Harbor,28000 S  WESTERN                      AV
14588,Harbor,28100 S  WESTERN                      AV
1042,Harbor,28200 S  WESTERN                      AV
541,Harbor,28300 N  WESTERN                      AV
541,Harbor,28900 N  WESTERN                      AV
521,Harbor,28900 S  WESTERN                      AV
1737,Harbor,28TH
3521,Harbor,28TH                         ST
1767,Harbor,2900    ARTHUR MACARTHUR             RD
4672,Harbor,2900    BAYWATER                     AV
587,Harbor,2900    CAROLINA                     ST
2276,Harbor,2900    MINER                        ST
587,Harbor,2900    PECK                         AV
521,Harbor,2900 N  GAFFEY                       ST
1752,Harbor,2900 S  ALMA                         ST
581,Harbor,2900 S  ANCHOVY                      AV
1168,Harbor,2900 S  CABRILLO                     AV
2935,Harbor,2900 S  CAROLINA                     ST
5283,Harbor,2900 S  DENISON                      AV
584,Harbor,2900 S  EMILY                        ST
1174,Harbor,2900 S  GAFFEY                       ST
4696,Harbor,2900 S  KERCKHOFF                    AV
1761,Harbor,2900 S  PACIFIC                      AV
587,Harbor,2900 S  PECK                         AV
4869,Harbor,29000 S  WESTERN                      AV
1752,Harbor,29TH
584,Harbor,29TH                         ST
11798,Harbor,2ND
12834,Harbor,2ND                          ST
529,Harbor,300    ALAMEDA                      ST
2100,Harbor,300    BAY VIEW                     AV
2645,Harbor,300    BROAD                        AV
551,Harbor,300    DAVE                         DR
